id,name,team,position,value
941757,Tyrese Francois,HNK Gorica,M,550000
1393292,Roman Plyushch,HNK Gorica U19,M,0
796086,Moussa Wagué,HNK Gorica,D,2100000
196094,Matthew Steenvoorden,HNK Gorica,D,880000
1163517,Mario Matković,NK Zagorec Krapina,D,0
1103981,Saša Marjanović,HNK Gorica,D,435000
910083,Karlo Žiger,HNK Gorica,G,52000
73722,Joey Suk,HNK Gorica,M,1100000
877984,Matúš Vojtko,HNK Gorica,D,295000
1152921,Lovro Nezirović,HNK Gorica U19,F,0
1395823,Nathan Cruce Corcy,HNK Gorica,D,0
912182,Paulius Golubickas,HNK Gorica,M,270000
1146631,Caio Cruz,HNK Gorica,F,270000
352366,Dominik Prokop,HNK Gorica,M,335000
964998,Fran Tomek,HNK Gorica,M,190000
880751,Josip Mitrović,HNK Gorica,M,930000
1003421,Amet Korça,HNK Gorica,D,190000
843153,Aleksandar Jovičić,HNK Gorica,D,1600000
1391849,Luka Kapulica,HNK Gorica U19,M,0
357708,Nikola Vujnović,HNK Gorica,F,750000
1101288,Albert Kangwanda,HNK Gorica,M,0
1126674,Patrik Jug,NK Zagorec Krapina,M,0
855970,Deni Jurić,HNK Gorica,F,915000
916186,Edin Julardžija,HNK Gorica,M,195000
1163504,David Sim,HNK Gorica U19,D,0
136705,Ivan Banić,HNK Gorica,G,885000
1163526,Vanja Kulenović,NK Zagorec Krapina,F,0
946040,Krešimir Krizmanić,HNK Gorica,D,1400000
880745,Jurica Pršir,HNK Gorica,M,670000
138935,Momčilo Raspopović,HNK Gorica,D,340000
588162,Cheick Keita,HNK Gorica,D,425000
1163527,Vinko Skrbin,HNK Gorica,M,0
890996,Merveil Ndockyt,HNK Gorica,M,290000
